title	href	last_work_plase	count
Менеджер IT проекта, Управляющий	/resume/675953d00001b6ff760039ed1f484878553162?hhtmFrom=resume_search_result	"ООО ""Альянс"""	1.0
Системный администратор / Специалист технической поддержки	/resume/418267d7000197e8540039ed1f424a7a6c6a70?hhtmFrom=resume_search_result	ООО Первое решение	1.0
Инженер	/resume/32e0267c0006bc91bb0039ed1f31353050764d?hhtmFrom=resume_search_result	"АО ""НИИССУ"""	2.0
Менеджер по сопровождению клиентов	/resume/e9f3ab4b00038c0ab30039ed1f4a49424d3757?hhtmFrom=resume_search_result	Менеджер по продажам	1.0
Сервисный инженер	/resume/8bec65ee0003016be30039ed1f336176613131?hhtmFrom=resume_search_result	"ООО ""ФОТО-ПРЕСТИЖ"""	1.0
Менеджер проектов.	/resume/3eedea050005c6d8690039ed1f323751615a55?hhtmFrom=resume_search_result	"ООО ""ОТР-2000"""	1.0
Менеджер проекта/ Project Manager	/resume/eb0adc890007db89600039ed1f76684b463049?hhtmFrom=resume_search_result	ИП Тарасов Д.В.	1.0
Менеджер интернет-проекта	/resume/57988c9100076feea70039ed1f3653484c7357?hhtmFrom=resume_search_result	Major-Auto	3.0
Project Manager	/resume/b61ecf7200075552040039ed1f4544464d6969?hhtmFrom=resume_search_result	Торговый Отдел Посольства Республики Корея	1.0
ИТ специалист  / Инженер технической поддержки	/resume/db0b4d92000764c6bf0039ed1f61334a727663?hhtmFrom=resume_search_result	АО Центральная пригородная пассажирская компания (АО ЦППК)	1.0
Руководитель ИТ-проектов	/resume/7fc8d2000001c567150039ed1f4e6c526e7877?hhtmFrom=resume_search_result	РОСБАНК	4.0
Инженер 2,3 линия	/resume/5d4f95270001520bd20039ed1f503956627677?hhtmFrom=resume_search_result	Московская Школа Управления СКОЛКОВО	2.0
ServiceDesk, Специалист по сопровождению ПО	/resume/4ea4a5c40002a1ab000039ed1f517353325251?hhtmFrom=resume_search_result	Всероссийский научно-исследовательский институт автоматики им. Н.Л. Духова, ФГУП	1.0
Руководитель проекта	/resume/5ad16e9b0004b14c0a0039ed1f756e354e4c4a?hhtmFrom=resume_search_result	Индивидуальное предпринимательство / частная практика / фриланс	177.0
Программист-стажер Python	/resume/2c4f65870000892ea80039ed1f736563726574?hhtmFrom=resume_search_result	Фриланс	38.0
Менеджер	/resume/d24a82610007291a860039ed1f3978514c4a71?hhtmFrom=resume_search_result	VFS Global	2.0
Руководитель IT-департамента, начальник IT управления	/resume/c8a6e0770001766ef70039ed1f645162634335?hhtmFrom=resume_search_result	Метроэлектротранс	1.0
Специалист по интернет-маркетингу	/resume/fd5373240007ba7bc20039ed1f6169344a3547?hhtmFrom=resume_search_result	Курсы повышения квалификации http://s7c.ru Дизайн интерьера	2.0
Data scientist 	/resume/f5a8c84a00067fe09a0039ed1f354778564a49?hhtmFrom=resume_search_result	Госсектор	3.0
Руководитель инфраструктурного ИТ отдела	/resume/aaf09426000000451e0039ed1f736563726574?hhtmFrom=resume_search_result	"Группа компаний ""Снежная королева"""	2.0
Unity C# Developer	/resume/7293f14c00077c73940039ed1f78586a633877?hhtmFrom=resume_search_result	Game Line Studio	2.0
Менеджер по сопровождению клиентов	/resume/917f17b10006204cd80039ed1f39427a707539?hhtmFrom=resume_search_result	Актион-Медиа, ЗАО	4.0
Менеджер продукта (Product Owner)	/resume/b40bd6dd00000034520039ed1f736563726574?hhtmFrom=resume_search_result	"ООО ""108"""	2.0
Системный аналитик	/resume/cf1fdc680007fe5bcf0039ed1f7275536b7444?hhtmFrom=resume_search_result	ООО Перспектива Авто	1.0
Связи с общественностью | Коммуникации и адвокация(GR) | Протокол и планирование мероприятий/ивентов	/resume/7341385a00074061c30039ed1f79744f6f7a7a?hhtmFrom=resume_search_result	"Банк ""Сберегательно-Кредитного Сервиса"" (ООО)"	1.0
IOS разработчик	/resume/f3b1a7800007ef8a780039ed1f4e4b33314331?hhtmFrom=resume_search_result	"ООО ""Стальные Решения"""	1.0
Data Engineer	/resume/89e45f570007b0315d0039ed1f6f736d4b434d?hhtmFrom=resume_search_result	GlowByte Consulting	2.0
Проектировщик интерфейсов, UX/Ul дизайнер	/resume/f438b534000653dc370039ed1f6d6a44305371?hhtmFrom=resume_search_result	Polymatica – российская аналитическая платформа для исследования Big Data. Широкий функционал для автоматизации аналитической работы с большими массивами структурированных данных, визуального представления информации на графиках, диаграммах или веб-картах	1.0
UX/UI дизайнер	/resume/3551f237000404d52b0039ed1f434935663334?hhtmFrom=resume_search_result	URSiP	2.0
Руководитель инфраструктурных проектов / Инженер проекта	/resume/62b678b90005c2c0220039ed1f6c653155595a?hhtmFrom=resume_search_result	"ООО ""Крафт Групп"""	1.0
Начальник отдела информационных технологий	/resume/d243a8d60004e7c1a20039ed1f59557845776e?hhtmFrom=resume_search_result	Ермолинские полуфабрикаты (Россия)	1.0
Руководитель проектов	/resume/c7e04b29000568e6010039ed1f436133377458?hhtmFrom=resume_search_result	ВИСТ Групп Цифра	1.0
IT-инженер	/resume/99661826000112570d0039ed1f4b4e49317359?hhtmFrom=resume_search_result	КАМА ЦФ, ООО	1.0
Директор ИТ	/resume/dc9ea66d0008047df90039ed1f744a30304945?hhtmFrom=resume_search_result	Машиностроение	1.0
Проектировщик (помощник проектировщика) слаботочных систем	/resume/e492e9be0006c1bc520039ed1f666169774632?hhtmFrom=resume_search_result	"ООО ""Игра"""	1.0
UX/UI дизайнер	/resume/3551f237000404d52b0039ed1f434935663334?hhtmFrom=resume_search_result	URSiP	2.0
Системный инженер	/resume/9efe76fc000491f18b0039ed1f616470757636?hhtmFrom=resume_search_result	"ФГБУ Комбинат питания ""Кремлевский"" управления делами президента РФ"	2.0
Инженер по ремонту	/resume/54b9e01f0006e43fdd0039ed1f54346f753746?hhtmFrom=resume_search_result	МБУ ДО «ДДТ»	3.0
Системный инженер	/resume/9efe76fc000491f18b0039ed1f616470757636?hhtmFrom=resume_search_result	"ФГБУ Комбинат питания ""Кремлевский"" управления делами президента РФ"	2.0
Инженер по ремонту	/resume/54b9e01f0006e43fdd0039ed1f54346f753746?hhtmFrom=resume_search_result	МБУ ДО «ДДТ»	3.0
Presales Manager	/resume/ee01a8f10005cabf9f0039ed1f6f7966374a58?hhtmFrom=resume_search_result	SAP EMEA	1.0
Аналитик	/resume/1375589a0007f618cf0039ed1f494c45305a67?hhtmFrom=resume_search_result	Берингер Ингельхайм	1.0
Программист	/resume/1d29ec380007d448e90039ed1f376e4a49347a?hhtmFrom=resume_search_result	VipAvenue	1.0
Ведущий специалист отдела информационных технологий	/resume/ccf5ed21000027bfca0039ed1f736563726574?hhtmFrom=resume_search_result	АО Почта России	2.0
Менеджер продукта (сервисы internet / telecom / mobile)	/resume/a75901b00007d258400039ed1f6e745941714c?hhtmFrom=resume_search_result	МГТС	10.0
IOS разработчик	/resume/94f4a0190006460eb60039ed1f514876714170?hhtmFrom=resume_search_result	ЛШ-Продакшн	1.0
HTML-верстальщик	/resume/42b6d72d00018748500039ed1f4e6748783678?hhtmFrom=resume_search_result	Индивидуальное предпринимательство / частная практика / фриланс	177.0
SEO-оптимизатор	/resume/3c41b5ed0000ce2adc0039ed1f77766972694b?hhtmFrom=resume_search_result	Лэндинг Солюшн Групп	1.0
Руководитель отдела ИТ разработки / TeamLead  	/resume/213470f000071d498c0039ed1f704e6e4b6c37?hhtmFrom=resume_search_result	ПКБ	1.0
Product manager/owner	/resume/374c2c8000078032b50039ed1f6c4b486e674d?hhtmFrom=resume_search_result	BMW AG	1.0
Веб-дизайнер	/resume/a1d199a60007ab2f3d0039ed1f426535335338?hhtmFrom=resume_search_result	ООО «Сандлерс Групп»	2.0
Руководитель проекта\Руководитель направления	/resume/95f9fae4000776e8f40039ed1f7a6565366a4e?hhtmFrom=resume_search_result	Связной	8.0
IT директор	/resume/fd9a33f800026accfc0039ed1f6c57564f696e?hhtmFrom=resume_search_result	"ООО ""ТД ДОЛИНА ОВОЩЕЙ"""	1.0
Руководитель проектов (АСУ ТП, АСУ Э)	/resume/40785e4a00079ba9bb0039ed1f366a4c776277?hhtmFrom=resume_search_result	"""СИСТЭН"""	1.0
Head of PMO, Head of IT Division, Deputy Head of IT Division	/resume/4ae39711000086617e0039ed1f736563726574?hhtmFrom=resume_search_result	Росгосстрах	3.0
программист 1С	/resume/08d8d2d3000103f7480039ed1f346252436952?hhtmFrom=resume_search_result	ООО СК-трейд	1.0
Технический эксперт	/resume/bf0ce620000613c85a0039ed1f63504b594e61?hhtmFrom=resume_search_result	ФС Право	1.0
Системный администратор, Специалист по технической поддержке	/resume/b2b4b94400068ded610039ed1f4841766b6f51?hhtmFrom=resume_search_result	34-я центральная районная клиническая поликлиника	1.0
Менеджер интернет-магазина	/resume/880d2f98000209efbd0039ed1f77577464316e?hhtmFrom=resume_search_result	Магазин Мята	1.0
Инженер по телекоммуникациям	/resume/9ba87bdd00058174a20039ed1f564474537167?hhtmFrom=resume_search_result	МегаФон	9.0
Помощник системного администратора	/resume/6707a096000772ee0f0039ed1f67746b344658?hhtmFrom=resume_search_result	Фрейт Линк	1.0
Менеджер интернет-магазина	/resume/08b481ee0003a9868b0039ed1f515154324755?hhtmFrom=resume_search_result	Addroid	1.0
Менеджер продукта	/resume/920dba340001da75990039ed1f417a4947784b?hhtmFrom=resume_search_result	"""Фарпост ИТ"", ООО"	1.0
CRM Manager	/resume/96a6569300008e4f7b0039ed1f736563726574?hhtmFrom=resume_search_result	Группа компаний ПИК	6.0
Руководитель IT проектов	/resume/ab868d8e00072514f30039ed1f6b6269666270?hhtmFrom=resume_search_result	AVATunes (Цифровые Аватары звезд)	1.0
Руководитель проекта	/resume/0e0d48d50000838bec0039ed1f736563726574?hhtmFrom=resume_search_result	"""САМБРОС КОНСАЛТИНГ"" (ИП САМРОС А.В.)"	1.0
Lead frontend	/resume/bc6a964a0005574ec20039ed1f5379694d7933?hhtmFrom=resume_search_result	Overteam	1.0
Администратор SAP	/resume/f5070799000110a2200039ed1f705279784159?hhtmFrom=resume_search_result	К2 Консалт	1.0
Product Owner	/resume/811ba6eb0002396a8d0039ed1f47393047516a?hhtmFrom=resume_search_result	QIWI Ltd	3.0
IT-инженер	/resume/3558d4e7000592342b0039ed1f664645705479?hhtmFrom=resume_search_result	ГБУЗ МО «Жуковская ГКБ»	1.0
Арт-директор / дизайнер	/resume/0575cc2800009457990039ed1f736563726574?hhtmFrom=resume_search_result	ИД Ньюмен	1.0
IT - Specialist	/resume/f8096f4c00060364450039ed1f633451494b35?hhtmFrom=resume_search_result	branquad	1.0
Директор IT / заместитель директора IT	/resume/b0326ade0005ca9d1d0039ed1f65724675504b?hhtmFrom=resume_search_result	GEODIS Calberson	1.0
Технический специалист	/resume/8e91abed0006dc34bc0039ed1f466576796d43?hhtmFrom=resume_search_result	Семейный бизнес	1.0
Системный администратор	/resume/10ee40bd0007cd67d50039ed1f5161544f317a?hhtmFrom=resume_search_result	"ГБУ РО ""Шиловский ММЦ"""	1.0
Java-разработчик	/resume/4456afaa0007e9d6430039ed1f317169796844?hhtmFrom=resume_search_result	BTS Digital	1.0
Бизнес- аналитик/ Product owner/ Project manager	/resume/831024fc000777c4f20039ed1f784a45754442?hhtmFrom=resume_search_result	Лига Цифровой Экономики	4.0
Программист (встраиваемые системы)	/resume/45465f0700037953db0039ed1f346949645955?hhtmFrom=resume_search_result	Индивидуальное предпринимательство / частная практика / фриланс	177.0
Senior Software Developer	/resume/0833918d00075851e20039ed1f6572614a4e65?hhtmFrom=resume_search_result	Xored	1.0
Ведущий аналитик / Product Owner / Project Manager	/resume/678071f80003e320670039ed1f514e474e3574?hhtmFrom=resume_search_result	Сбербанк	46.0
Менеджер, руководитель административного отдела	/resume/8354548f0000a81cc80039ed1f736563726574?hhtmFrom=resume_search_result	"ООО ""Мега Фарм"""	1.0
Аналитик	/resume/acda35cf00075981af0039ed1f46547138464c?hhtmFrom=resume_search_result	Ipsos	1.0
junior project manager / младший менеджер проектов	/resume/88d9c5f70000d30d970039ed1f6235414b5365?hhtmFrom=resume_search_result	Казан-Мангал	1.0
Специалист по информационной безопасности	/resume/85ea71620003d2aae40039ed1f684f344c7672?hhtmFrom=resume_search_result	"ГБУ АО ""Инфраструктурный центр электронного правительства"""	1.0
Менеджер проектов	/resume/eb46275e000334c1380039ed1f356d63516d66?hhtmFrom=resume_search_result	Свой доктор	1.0
Техническая поддержка	/resume/7ed1f15f000113088d0039ed1f635770443065?hhtmFrom=resume_search_result	"Акционерное общество ""Стриж-Логистик"""	1.0
IT-специалист (системный администратор, специалист техподдержки)	/resume/88c2fef100022552310039ed1f345756557a64?hhtmFrom=resume_search_result	easy4	1.0
Менеджер IT-проектов	/resume/034ccfba0007bf6dfc0039ed1f31686332704f?hhtmFrom=resume_search_result	HRmaps	1.0
Ведущий разработчик	/resume/4ec13fc10001ea47af0039ed1f387576313137?hhtmFrom=resume_search_result	НПО Эшелон, ЗАО	1.0
Frontend разработчик, верстальщик	/resume/3a4eb3ea0007f656690039ed1f74785a4f4151?hhtmFrom=resume_search_result	Делаю свои проекты(самообучение). Ссылка на портфолио в графе 'Обо мне'	1.0
Руководитель проекта	/resume/3ec86fe00002b2518f0039ed1f796d50795a78?hhtmFrom=resume_search_result	Ресторанная группа.DREAMTEAM	1.0
Системный администратор	/resume/2d4c4c170007c4fb6d0039ed1f44623341754f?hhtmFrom=resume_search_result	"МУК ""Михайловский исторический музей"""	1.0
Инженер	/resume/753f6f42000331f8710039ed1f636542486362?hhtmFrom=resume_search_result	ООО КейЛинк	1.0
Инженер сервисной службы ККТ (кассы)	/resume/d1ee37b50002a0ce390039ed1f426757767a63?hhtmFrom=resume_search_result	"OOO ""КАССА 77"""	1.0
Инженер слаботочных систем / Инженер по эксплуатации	/resume/85da89ed00024006400039ed1f704d42423271?hhtmFrom=resume_search_result	Альянс Telecommunications	1.0
Экономист-математик	/resume/8ddcf633000158ee530039ed1f755731704631?hhtmFrom=resume_search_result	Hyve Expo International (ITE Expo International)	1.0
Веб-дизайнер	/resume/a1d199a60007ab2f3d0039ed1f426535335338?hhtmFrom=resume_search_result	ООО «Сандлерс Групп»	2.0
Scala Developer	/resume/5a552dda000598c02f0039ed1f384c30303254?hhtmFrom=resume_search_result	Mind Logic	1.0
Инженер-архитектор, чертёжник 	/resume/e4214d7b0007ef5d0a0039ed1f446d6c704530?hhtmFrom=resume_search_result	Мастерская	1.0
QA Engineer	/resume/80d163f40007cc388f0039ed1f62685165686f?hhtmFrom=resume_search_result	Test IO	2.0
Руководитель направления электронной коммерции	/resume/7f975bcd0003bd59780039ed1f556e51545358?hhtmFrom=resume_search_result	Банк ВТБ (ПАО)	9.0
Ведущий программист 1C	/resume/867988c3000762b7050039ed1f557132677832?hhtmFrom=resume_search_result	Индивидуальное предпринимательство / частная практика / фриланс	177.0
Руководитель проектов	/resume/8dfe9a190007c7a1360039ed1f445654724b6b?hhtmFrom=resume_search_result	Hikvision - мировой лидер по производству систем видеонаблюдения	1.0
Дизайнер интерфейсов (UI/UX)/ Web-дизайнер	/resume/53ec8b6e00060a136b0039ed1f4150555a4a31?hhtmFrom=resume_search_result	Nice'n'Easy	1.0
SEO - специалист, интернет-маркетолог	/resume/c7871bd40007c66a380039ed1f4f515347616d?hhtmFrom=resume_search_result	"Интернет - агентство ""Wezom"""	1.0
AI директор	/resume/98c2b64f0007e72b4e0039ed1f4b6d78554759?hhtmFrom=resume_search_result	"РЕКЛАМНОЕ АГЕНТСТВО ""IMPEL"""	1.0
SEO	/resume/b4947c9d0003c761cc0039ed1f415861345758?hhtmFrom=resume_search_result	SEO-специалист, СЕО-оптимизатор, Руководитель SEO отдела (Агентство интернет-маркетинга Netrocket)	1.0
Координатор проектов	/resume/c71d9e0a00051353380039ed1f507a4e635847?hhtmFrom=resume_search_result	Производственно-инжиниринговая компания	1.0
Системный администратор	/resume/93722a5a0000d710ef0039ed1f70563165514a?hhtmFrom=resume_search_result	ГУ - Центр по выплате пенсий и обработке информации ПФР в Самарской области	1.0
Специалист отдела информационных технологий	/resume/bc631df80007fb65910039ed1f435943385172?hhtmFrom=resume_search_result	Новосибирское  региональное отделение общероссийской общественной организации «Всероссийский студенческий союз»	1.0
Интернет-маркетолог	/resume/c66a7c040007081ebc0039ed1f6e4b6a613454?hhtmFrom=resume_search_result	"ООО ""Юнистри"""	1.0
Инженер и выше	/resume/f741dbf4000209998a0039ed1f4c714644456f?hhtmFrom=resume_search_result	Московский аэропорт Домодедово	2.0
Product - manager	/resume/ecc0356d00080279120039ed1f496d766a5733?hhtmFrom=resume_search_result	Индивидуальное предпринимательство / частная практика / фриланс	177.0
SEO-специалист	/resume/767907aa000298a1c90039ed1f764356626131?hhtmFrom=resume_search_result	ООО “Велли Запчасть”	1.0
SEO-специалист	/resume/a6aa82ad00061f914b0039ed1f6e4f4a783477?hhtmFrom=resume_search_result	Netpeak	1.0
Системный администратор_	/resume/4638e90700013f0e1c0039ed1f36716c523874?hhtmFrom=resume_search_result	ООО Венеция	1.0
Project manager	/resume/57048eb20002fefe0b0039ed1f554645646a4c?hhtmFrom=resume_search_result	JSC «I-Teco»	1.0
Системный аналитик	/resume/7225c1d50007e006cc0039ed1f636c4e4e4d75?hhtmFrom=resume_search_result	"АО ""ТПК ""ДМ Текстиль Менеджмент"""	1.0
Product Designer	/resume/461d5762000596cf480039ed1f345138537531?hhtmFrom=resume_search_result	Health&Fitness app at Haxus.com	1.0
Full Stack разработчик Bitrix (интернет-магазин)	/resume/41dad54c0007ea38480039ed1f614f6b695459?hhtmFrom=resume_search_result	"АО ""Фарм"""	1.0
Сборщик ПК, серверов, мастер по ремонту компьютеров	/resume/6d0c56c60005937bcf0039ed1f413645487438?hhtmFrom=resume_search_result	ООО IT Partner	1.0
1С Программист	/resume/004841a90001a121280039ed1f79414f39534e?hhtmFrom=resume_search_result	ИП Бозин Данил Владимирович	1.0
Менеджер по продажам	/resume/a74ef7590007cd25320039ed1f4f3443335453?hhtmFrom=resume_search_result	"ООО "" Гран-сити"""	1.0
Специалист отдела технической поддержки	/resume/4a5e8b3c000364c1680039ed1f57736a784639?hhtmFrom=resume_search_result	КБ «Акрополь» АО	1.0
джуниор тестировщик ПО	/resume/3377e04600050db4210039ed1f79306f337a66?hhtmFrom=resume_search_result	Мир капсул	1.0
Математик-программист	/resume/e3dcb43200014c6a290039ed1f686a506b5173?hhtmFrom=resume_search_result	ООО «ГА ДИСПЕТЧЕРСКИЕ СИСТЕМЫ»	1.0
Системный аналитик / разработчик технической документации	/resume/154601a40007ff60d70039ed1f4336426c3438?hhtmFrom=resume_search_result	"ЗАО ""Инжиниринговый центр ГОЧС ""БАЗИС""; ЗАО ""НИИ СМИС""; ООО ""В-класс"""	1.0
Системный администратор	/resume/c2b397f50005a303d10039ed1f3669766f5831?hhtmFrom=resume_search_result	Аптека для бережливых	2.0
Менеджер по управлению проектами / Руководитель интернет-проектов	/resume/c6eab3ba00061c0f120039ed1f6d4157674c63?hhtmFrom=resume_search_result	LocalGuide, туристический стартап	2.0
Frontend Developer (React)	/resume/13270f2100052a196c0039ed1f306e75766452?hhtmFrom=resume_search_result	Связной	8.0
Руководитель IT проектов	/resume/0f2bc16c00058917f20039ed1f414378586f63?hhtmFrom=resume_search_result	АвтоЭстейт	2.0
Тестировщик	/resume/2c1561b400075d44630039ed1f33455433436e?hhtmFrom=resume_search_result	Итс	2.0
начальник отдела, инженер-электроник. сервисный инженер.менеджер продаж.ремонт медицинской техники.	/resume/a744fb240003d772960039ed1f576145525973?hhtmFrom=resume_search_result	ООО Сивантек	2.0
Менеджер проекта ИТ / Project manager  IT / Web PMO	/resume/6b8bf112000795766d0039ed1f616c32703236?hhtmFrom=resume_search_result	Bask digital agency	2.0
Java Developer	/resume/15699418000640cd0b0039ed1f31774e64554c?hhtmFrom=resume_search_result	JavaRush	3.0
Cетевой инженер	/resume/52c001410005b32e710039ed1f48324e31485a?hhtmFrom=resume_search_result	Слетать.ру	2.0
Директор по информационным технологиям, CIO	/resume/fc86e69b00028c3af60039ed1f32633054334a?hhtmFrom=resume_search_result	Берг-Холдинг	2.0
Технический специалист	/resume/78494f0200027fe0650039ed1f44567144776e?hhtmFrom=resume_search_result	Везёт	1.0
Менеджер интернет-магазина	/resume/8b3d58800007bc2ac00039ed1f517648487733?hhtmFrom=resume_search_result	Салон красоты	1.0
Консультант 1С\Программист 1С\Руководитель отдела сопровождения	/resume/876952050003f2c5580039ed1f335054456f77?hhtmFrom=resume_search_result	"ООО ""ПИИТ"" (ИТ подразделение Локомотивные технологии)"	1.0
Businees and Project manager	/resume/f24e49240003d7be790039ed1f503967505143?hhtmFrom=resume_search_result	Barrus Project Logistics	1.0
Junior web разработчик	/resume/ce095dff0007b6bf270039ed1f734c78715164?hhtmFrom=resume_search_result	ФГУП НПЦАП	1.0
Blockchain Architect, Developer (Solidity, Vyper, JS)	/resume/a4efc6bf00045ff4820039ed1f585371707a7a?hhtmFrom=resume_search_result	Fintech company of top Russian bank	1.0
Руководитель технической службы (Project manager)	/resume/30ee694500002171090039ed1f736563726574?hhtmFrom=resume_search_result	АО Nokia	1.0
Начальник отдела АСУТП и КИПиА, инженер АСУТП, инженер-программист АСУТП	/resume/0d7c6e5f0001ea2cf70039ed1f64554f735847?hhtmFrom=resume_search_result	"Табачная компания ""Пеппелл"""	1.0
Junior Android разработчик	/resume/4b2cdf960006b3a99d0039ed1f6c5056384c6c?hhtmFrom=resume_search_result	Собственный проект	2.0
Web-разработчик	/resume/aa05c19c0007f45f060039ed1f394f72434341?hhtmFrom=resume_search_result	Оптик-Вижн	1.0
Программист-стажер	/resume/dc8dd2b300032bd0100039ed1f504e42386731?hhtmFrom=resume_search_result	Государственный космический научно-производственный центр им. М.В. Хруничева	1.0
Веб-дизайнер	/resume/10ef59e00007a85a470039ed1f49774e6b5341?hhtmFrom=resume_search_result	ООО Зебра-ПР	1.0
Программист-разработчик	/resume/a9710d2f00071d2b070039ed1f4863596c535a?hhtmFrom=resume_search_result	Индивидуальное предпринимательство / частная практика / фриланс	177.0
Оператор службы поддержки	/resume/319eaaee000746673f0039ed1f4f4678474c6a?hhtmFrom=resume_search_result	BingoBoom	1.0
HTML-верстальщик	/resume/6527ecb300075419840039ed1f58624a665a4e?hhtmFrom=resume_search_result	НПО Металлист	1.0
инженер-математик	/resume/381812fe0005fc97cb0039ed1f4d4c6f47586a?hhtmFrom=resume_search_result	удаленная работа	1.0
Руководитель проектов / продуктов	/resume/b4bbd2050007adcc2a0039ed1f47415a4d3661?hhtmFrom=resume_search_result	ГОУ ВПО Тюменский индустриальный университет	1.0
UX/UI дизайнер	/resume/dc2c953800043d09360039ed1f70754f566271?hhtmFrom=resume_search_result	UXD Storytellers	1.0
Ночной дежурный инженер связи\ сервисный инженер\ электромонтер связи	/resume/dc18d7440004eb149e0039ed1f784f6d6f786a?hhtmFrom=resume_search_result	"Московский метрополитен, Государственное унитарное предприятие электродепо ""Печатники"""	1.0
Копирайтер	/resume/06b7e3ac00033d3f6a0039ed1f50714b4e336e?hhtmFrom=resume_search_result	Индивидуальное предпринимательство / частная практика / фриланс	177.0
Frontend-разработчик	/resume/10b320420001bf56680039ed1f6e5878467478?hhtmFrom=resume_search_result	ДИТ Правительства Москвы	2.0
Консультант SAP PM (ТОРО)	/resume/8cab113f00057d406f0039ed1f376437694b4e?hhtmFrom=resume_search_result	Шереметьево, Международный Аэропорт	2.0
Менеджер по управлению релизами	/resume/d7858004000779c9410039ed1f615547353561?hhtmFrom=resume_search_result	Техносерв Консалтинг	2.0
Project Manager	/resume/3a184beb0003dc23b90039ed1f617532676355?hhtmFrom=resume_search_result	Индивидуальное предпринимательство / частная практика / фриланс	177.0
Руководитель проекта, инженер	/resume/56789fac0002935f610039ed1f536c49466944?hhtmFrom=resume_search_result	"ООО ""Главспецстрой"""	1.0
Дизайнер	/resume/a0017d5100071eb9160039ed1f346b766d507a?hhtmFrom=resume_search_result	Копирка	1.0
Младший программист	/resume/3644d1c10003ea6b820039ed1f77487454754f?hhtmFrom=resume_search_result	Лаш Раша, OOO	1.0
junior analyst	/resume/9ac6e08300041263dc0039ed1f674f70665668?hhtmFrom=resume_search_result	М-студия	1.0
Инженeр	/resume/a5f472710000962a9f0039ed1f736563726574?hhtmFrom=resume_search_result	"АО ""НИИССУ"""	2.0
Аналитик городских данных / Градостроитель	/resume/8bd6ec3e00030d77c70039ed1f344767696a65?hhtmFrom=resume_search_result	Philip morris international	2.0
Интернет-маркетолог	/resume/57ec9a3a00068e19cd0039ed1f376d614b7547?hhtmFrom=resume_search_result	Мята Lounge	1.0
Руководитель проекта / функциональный архитектор-аналитик ERP (строительство, производство)	/resume/826c75b200077f28900039ed1f704c64356f6a?hhtmFrom=resume_search_result	Актив Групп (производство, строительство), АГ Строй Сервис (строительство), Строй Торг (торговый дом)	1.0
Инженер 	/resume/3c3394ba000707a2f90039ed1f6f6b49797a51?hhtmFrom=resume_search_result	Индивидуальное предпринимательство / частная практика / фриланс	177.0
Key Account manager/Менеджер по работе с ключевыми клиентами	/resume/37b2c48e0000394fed0039ed1f736563726574?hhtmFrom=resume_search_result	"ГБУ ""ЕИРЦ города Москвы"""	1.0
Оператор	/resume/3535e93900053033750039ed1f6768434f4a76?hhtmFrom=resume_search_result	Газпром нефть северо-запад	1.0
Начальник отдела по строительству и эксплуатации зданий	/resume/beefff58000200645f0039ed1f4b44315a696c?hhtmFrom=resume_search_result	"ООО ""Выбор Строй Проект"""	1.0
Директор по информационным технологиям (IT)	/resume/7f7fa3f50007bdd4580039ed1f41444c434641?hhtmFrom=resume_search_result	АО Елецгидроагрегат	1.0
Системный администратор	/resume/397cabe80002e7587a0039ed1f664242437465?hhtmFrom=resume_search_result	Билайн	7.0
Руководитель отдела, супервайзер, региональный менеджер 	/resume/87738c0a000205f0be0039ed1f3859334e416a?hhtmFrom=resume_search_result	ООО Объединение Союзпищепром	1.0
2d artist junior / гейм-дизайнер младший	/resume/b025d96f000662fd000039ed1f6d564d30356b?hhtmFrom=resume_search_result	Сиэсди групп	1.0
Системный администратор	/resume/c2b397f50005a303d10039ed1f3669766f5831?hhtmFrom=resume_search_result	Аптека для бережливых	2.0
Менеджер по управлению проектами / Руководитель интернет-проектов	/resume/c6eab3ba00061c0f120039ed1f6d4157674c63?hhtmFrom=resume_search_result	LocalGuide, туристический стартап	2.0
Frontend Developer (React)	/resume/13270f2100052a196c0039ed1f306e75766452?hhtmFrom=resume_search_result	Связной	8.0
Руководитель IT проектов	/resume/0f2bc16c00058917f20039ed1f414378586f63?hhtmFrom=resume_search_result	АвтоЭстейт	2.0
Тестировщик	/resume/2c1561b400075d44630039ed1f33455433436e?hhtmFrom=resume_search_result	Итс	2.0
начальник отдела, инженер-электроник. сервисный инженер.менеджер продаж.ремонт медицинской техники.	/resume/a744fb240003d772960039ed1f576145525973?hhtmFrom=resume_search_result	ООО Сивантек	2.0
Менеджер проекта ИТ / Project manager  IT / Web PMO	/resume/6b8bf112000795766d0039ed1f616c32703236?hhtmFrom=resume_search_result	Bask digital agency	2.0
Java Developer	/resume/15699418000640cd0b0039ed1f31774e64554c?hhtmFrom=resume_search_result	JavaRush	3.0
Cетевой инженер	/resume/52c001410005b32e710039ed1f48324e31485a?hhtmFrom=resume_search_result	Слетать.ру	2.0
Директор по информационным технологиям, CIO	/resume/fc86e69b00028c3af60039ed1f32633054334a?hhtmFrom=resume_search_result	Берг-Холдинг	2.0
Программист	/resume/553fd6c00003e267f40039ed1f51584e583349?hhtmFrom=resume_search_result	"АО ""Концерн ""Созвездие"""	1.0
Интернет-маркетолог	/resume/88d6117a000756dea90039ed1f66394941736a?hhtmFrom=resume_search_result	"ООО ""АЭРОПИТ-СЕРВИС"""	1.0
